ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Samples_100,Samples_200,Country_ID,Source,Parent_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
kra,Kara (in Papua New Guinea),Papunesia,-2.83333333333,151.116666667,kara1486,leu,Austronesian,Eastern Malayo-Polynesian,Oceanic,,leu,False,False,PG,Schlie-and-Schlie-1993,genus-oceanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krb,Kiribati,Papunesia,1.33333333333,173.0,gilb1244,gil,Austronesian,Eastern Malayo-Polynesian,Oceanic,,gil,False,True,KI,Cowell-1951 Groves-et-al-1985 Harrison-and-Jackson-1984,genus-oceanic,2.0,4.0,5.0,2.0,2.0,2.0,,1.0,,,,,2.0,,2.0,2.0,4.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,4.0,4.0,12.0,3.0,,,,,,,,,,,,,,,,,,4.0,,1.0,6.0,4.0,,,,,,3.0,1.0,1.0,,,,,,,,,4.0,1.0,1.0,1.0,2.0,,,,6.0,,4.0,3.0,,,3.0,,1.0,1.0,,,1.0,6.0,,,,4.0,1.0,1.0,1.0,9.0,,,3.0,3.0,,2.0,,,,1.0,,,,,2.0,,,,,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,,1.0,1.0,,,1.0,,4.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,2.0,,2.0,1.0,4.0,4.0,4.0,1.0,,1.0
krc,Karachay-Balkar,Eurasia,43.5,42.0,kara1465,krc,Altaic,,Turkic,,krc,False,False,RU,Chechenov-and-Akhmatov-1997 Comrie-1998 Karacaevo-Cerkesskij-Institut-1956 Nedjalkov-and-Nedjalkov-2007c Seegmiller-1996 Xabichev-1966,genus-turkic,,2.0,,,,,2.0,,,,,,,,,,5.0,,,,2.0,,,,,,,4.0,4.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,10.0,,,,4.0,3.0,4.0,16.0,4.0,,,,,,,,,,15.0,5.0,,,4.0,4.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,4.0,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,6.0,2.0,,1.0,1.0,1.0,,,2.0
krd,Kurdish (Central),Eurasia,36.0,44.0,cent1972,ckb,Indo-European,,Iranian,,ckb,False,False,IR IQ,Abdulla-and-McCarus-1967 Akrawy-1982 Blau-1980 Cabolov-1997 Ejjubi-and-Smirnova-1968 Fattah-1997 McCarus-1956 McCarus-1958 McCarus-1997,genus-iranian,2.0,2.0,5.0,3.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,,,,,1.0,4.0,4.0,,,,,,,,,3.0,,,,3.0,,,,2.0,6.0,4.0,,3.0,3.0,,,3.0,,,,,6.0,,,,3.0,,4.0,,9.0,,,2.0,,,2.0,,,,2.0,,,,,,,,,,4.0,2.0,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,2.0,2.0,6.0,1.0,2.0,1.0,,1.0,,,,,1.0,,2.0,1.0,2.0,2.0,2.0,,,2.0
kre,Kresh,Africa,8.5,24.5,gbay1288,krs,Central Sudanic,,Kresh,,krs,False,False,SS,Brown-1994 Santandrea-1976 Tucker-and-Bryan-1966,genus-kresh,,2.0,,,,,,,,,,,,,,,2.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,2.0,,1.0,1.0,4.0,19.0,6.0,,15.0,,,13.0,3.0,5.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,2.0,2.0,2.0,,4.0,4.0,3.0,,,
krf,Korafe,Papunesia,-9.05,149.083333333,kora1294,kpr,Trans-New Guinea,Greater Binanderean,Binanderean,,kpr,False,False,PG,Farr-1999,genus-binanderean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krg,Karanga,Africa,-20.0,31.0,shon1251,sna,Niger-Congo,Benue-Congo,Bantu,,sna,False,False,ZW,Marconnes-1931,genus-bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krh,Krahô,South America,-8.0,-48.0,krah1246,xra,Macro-Ge,Je,Je Setentrional,,xra,False,False,BR,Shell-1952,genus-jesetentrional,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,2.0,,,1.0
kri,Kipea,South America,-10.0,-37.0,kari1255,kzw,Kariri,,Kariri,,kzw,False,False,BR,Adam-1897 Larsen-1984 Rodrigues-1999b,genus-kariri,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,,,,,,,,,10.0,,9.0,1.0,4.0,,,,,,,,,2.0,,,,2.0,3.0,5.0,2.0,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,2.0,4.0,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,,2.0,,,,4.0,4.0,4.0,,,
krj,Karadjeri,Australia,-19.0,122.0,kara1476,gbd,Pama-Nyungan,,Western Pama-Nyungan,,gbd,False,False,AU,Capell-1962b,genus-westernpamanyungan,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,1.0,,,,,5.0,,,
krk,Karok,North America,41.6666666667,-123.0,karo1304,kyh,Hokan,,Karok,,kyh,True,True,US,Bright-1957 Bright-1977 Bybee-et-al-1994 Harrington-1931 Macaulay-1992a Mithun-1999 Nichols-1992 Rose-nd,genus-karok,5.0,2.0,5.0,2.0,5.0,,2.0,1.0,3.0,4.0,3.0,1.0,1.0,,,2.0,6.0,2.0,3.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,3.0,,2.0,,,,14.0,2.0,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.0,,1.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,4.0,,1.0,,3.0,,3.0,3.0,,,,6.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,6.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,,3.0,,2.0,4.0,,,1.0,,7.0,,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,5.0,5.0,5.0,1.0,1.0,3.0
krl,Karelian,Eurasia,64.0,32.0,kare1335,krl,Uralic,Finno-Ugric,Finnic,,krl,False,False,RU,Laanest-1982 Leskinen-1984 Raun-1964b Rjagoev-1993,genus-finnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krm,Karaim,Eurasia,54.6666666667,24.9166666667,kara1464,kdr,Altaic,,Turkic,,kdr,False,False,UA LT,Kowalski-1929 Musaev-1966 Musaev-1997,genus-turkic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
krn,Korana,Africa,-29.5,20.5,kora1292,kqz,Khoe-Kwadi,,Khoe-Kwadi,,kqz,False,False,ZA,Donwa-Ifode-1990 Maingard-1962 Meinhof-1930,genus-khoekwadi,,3.0,,,,,,,,,,,,3.0,,2.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,5.0,5.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,5.0,,5.0,2.0,1.0,2.0,,,,,,,,,,7.0,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,,,,,,2.0,1.0,2.0,1.0,5.0,1.0,,,
kro,Krongo,Africa,10.5,30.0,kron1241,kgo,Kadu,,Kadugli,,kgo,True,True,SD,Bybee-et-al-1994 Reh-1983 Reh-1985,genus-kadugli,1.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,6.0,3.0,1.0,,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,,,,,,,,,,,,,,,,,22.0,3.0,5.0,6.0,3.0,,1.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,5.0,1.0,3.0,4.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,,,,1.0,6.0,4.0,1.0,5.0,5.0,5.0,,2.0,5.0,3.0,1.0,,3.0,1.0,,,2.0,6.0,1.0,6.0,2.0,2.0,2.0,,,,4.0,2.0,1.0,2.0,1.0,,,2.0,,2.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,,1.0,1.0,4.0,3.0,3.0,3.0,3.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,,,3.0,6.0,2.0,1.0,,4.0,4.0,1.0,1.0,1.0
krq,Kerek,Eurasia,62.25,175.0,kere1280,krk,Chukotko-Kamchatkan,,Northern Chukotko-Kamchatkan,,krk,False,False,RU,Skorik-1968b Skorik-1986 Volodin-2001,genus-northernchukotkokamchatkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
krr,Kairiru,Papunesia,-3.33333333333,143.583333333,kair1263,kxa,Austronesian,Eastern Malayo-Polynesian,Oceanic,,kxa,False,False,PG,Ross-2002a Wivell-1981,genus-oceanic,,2.0,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,2.0,,,,,,3.0,1.0,,,,,,,,,,9.0,,,,,,2.0,,,,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,,2.0,1.0,5.0,2.0,2.0,,,
krt,Karata,Eurasia,42.5833333333,46.3333333333,kara1474,kpt,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic,,kpt,False,False,RU,Gudava-1964 Magomedbekova-1971,genus-avarandictsezic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
krw,Korowai,Papunesia,-5.25,140.0,koro1312,khe,Trans-New Guinea,Awyu-Ok,Becking-Dawi,,khe,False,False,ID,van-Enk-and-de-Vries-1997,genus-beckingdawi,,2.0,,,,,,,,,,,2.0,,,,6.0,,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.0,,,2.0,2.0,4.0,18.0,,,,,,,,,,,16.0,,6.0,,4.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,2.0,3.0,,,4.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,7.0,2.0,2.0,,,,,,2.0,2.0,,,5.0,1.0,,,
kry,Koryak,Eurasia,61.0,167.0,kory1246,kpy,Chukotko-Kamchatkan,,Northern Chukotko-Kamchatkan,,kpy,False,False,RU,Bogoras-1917 Skorik-1986 Stolz-1996 Zhukova-1967 Zhukova-1968b Zhukova-1972 Zhukova-1980 Zukova-1967,genus-northernchukotkokamchatkan,,,,,,,,,,,,,,,,,6.0,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,1.0,,,,14.0,4.0,,,2.0,2.0,4.0,18.0,,,,,,,,,,,16.0,,6.0,,4.0,4.0,6.0,6.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,3.0,,,,2.0,,,,2.0,,,1.0,,,,,3.0,,,,,,,1.0,,,,1.0,,1.0,2.0,,,,,4.0,,,,1.0,,,,,,,,,,4.0,2.0,,,,2.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0
krz,Kryz,Eurasia,41.0833333333,48.0,kryt1240,kry,Nakh-Daghestanian,Daghestanian,Lezgic,,kry,False,False,AZ,Authier-2004 Saadiev-1994,genus-lezgic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,3.0
ksa,Keresan (Santa Ana),North America,35.4166666667,-106.666666667,east1472,kee,Keresan,,Keresan,,kee,False,False,US,Davis-1960 Davis-1964,genus-keresan,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,7.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
kse,Koyraboro Senni,Africa,16.0,0.0,koyr1242,ses,Songhay,,Songhay,,ses,True,True,ML NE,Heath-1999a Malherbe-and-Rosenberg-1996 Prost-1956 Williamson-1967,genus-songhay,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,,,3.0,4.0,2.0,3.0,3.0,1.0,1.0,,,,1.0,,,4.0,4.0,2.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,1.0,,,,1.0,4.0,4.0,6.0,2.0,,,,,,,,,,2.0,,,,4.0,1.0,8.0,11.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,8.0,,4.0,1.0,1.0,4.0,3.0,,3.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,9.0,,5.0,,,,4.0,,,,3.0,,,7.0,,2.0,1.0,4.0,2.0,4.0,5.0,1.0,1.0,4.0,3.0,2.0,2.0,,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,,,,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
ksg,Karen (Sgaw),Eurasia,18.0,97.0,sgaw1245,ksw,Sino-Tibetan,Tibeto-Burman,Karen,,ksw,False,False,MM,Jones-1961 Malherbe-and-Rosenberg-1996,genus-karen,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,3.0,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,1.0,,4.0,5.0,7.0,3.0,,,,,,,,,,,,,,,,,,,1.0,5.0,4.0,,,,2.0,,,,,1.0,,,,3.0,,,,7.0,,,,5.0,5.0,,,3.0,,,,,,,,,,,3.0,,9.0,,,,,,,,,,1.0,,,,,,,,,,5.0,1.0,,,,,,,,,,,,3.0,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,4.0,4.0,4.0,,,
ksh,Kashaya,North America,38.6666666667,-123.333333333,kash1280,kju,Hokan,,Pomoan,,kju,False,False,US,Buckley-1994 Oswalt-1961 Oswalt-1986 Oswalt-1988,genus-pomoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
ksi,Ksingmul,Eurasia,21.0833333333,104.0,puoc1238,puo,Austro-Asiatic,Mon-Khmer,Khmuic,,puo,False,False,VN LA,Pogibenko-and-Buy-1990,genus-khmuic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ksl,Kenyan Sign Language,Africa,0.0,38.0,keny1241,xki,other,,Sign Languages,,xki,False,False,KE,Akach-1991,genus-signlanguages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksm,Kasem,Africa,11.25,-1.25,kase1253,xsm,Niger-Congo,Gur,Grusi,,xsm,False,False,BF,Bonvini-1988 Cremer-1924,genus-grusi,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
ksn,Kasong,Eurasia,12.75,102.116666667,chon1284,cog,Austro-Asiatic,Mon-Khmer,Pearic,,cog,False,False,TH,Sunee-2003,genus-pearic,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,1.0,,,4.0,,,
ksp,Kosop,Africa,9.91666666667,15.9166666667,kimm1246,kia,Niger-Congo,Adamawa-Ubangi,Kim,,kia,False,False,TD,Lafarge-1977,genus-kim,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksr,Kisar,Papunesia,-8.08333333333,127.116666667,kisa1266,kje,Austronesian,,Central Malayo-Polynesian,,kje,False,False,ID,Christensen-and-Christensen-1992 Christensen-et-al-1991,genus-centralmalayopolynesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
kss,Kisi (Southern),Africa,8.5,-10.25,sout2778,kss,Niger-Congo,Mel,Southern Mel,,kss,False,False,GN LR,Childs-1995,genus-southernmel,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
ksu,Kashubian,Eurasia,54.0,18.0,kash1274,csb,Indo-European,,Slavic,,csb,False,False,PL,Lorentz-1971,genus-slavic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kta,Koita,Papunesia,-9.33333333333,147.083333333,koit1244,kqi,Trans-New Guinea,,Koiarian,,kqi,False,False,PG,Dutton-1975,genus-koiarian,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,,,,2.0,,,
ktb,Kituba,Africa,-5.0,17.5,kitu1246,ktu,other,,Creoles and Pidgins,,ktu,False,False,CD,Swift-and-Zola-1963,genus-creolesandpidgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
